"mjd","residual"
57734.4602321426,868452.636719
57734.4602331789,1009219.299316
57734.460234207,446529.724121
57734.4602352415,436088.07373
57734.4602362757,392343.383789
57734.4602373135,666475.036621
57734.4602383494,773723.510742
57734.4602393804,458271.453857
57734.460240416,536827.270508
57734.4602414565,1047247.924805
57734.4602424838,405245.178223
57734.4602435244,924882.263184
57734.4602445535,440648.55957
57734.4602455876,400059.448242
57734.460246626,717158.14209
57734.4602476564,353802.67334
57734.4602486942,622789.001465
57734.4602497271,476101.318359
57734.4602507619,484642.730713
57734.460251796,437860.443115
57734.4602528353,834891.296387
57734.4602538702,858468.688965
57734.4602549052,891241.699219
57734.4602559422,1095610.229492
57734.4602569685,369707.427979
57734.4602580026,322996.856689
57734.4602590376,357090.698242
57734.4602600766,726326.904297
57734.4602611086,503327.758789
57734.4602621478,888168.640137
57734.4602631793,618991.760254
57734.4602642134,575100.585938
57734.4602652528,986460.021973
57734.4602662835,642442.016602
57734.4602673224,1007243.774414
57734.4602683539,739898.132324
57734.4602693894,811938.415527
57734.4602704255,935384.82666
57734.4602714594,866202.026367
57734.4602724942,882353.33252
57734.4602735291,901546.875
57734.4602745607,642977.050781
57734.4602755913,291430.969238
57734.4602766283,492873.657227
57734.460277664,584368.225098
57734.460278701,786564.086914
57734.4602797368,888105.651855
57734.4602807682,604436.584473
57734.460281803,618205.688477
57734.4602828375,604905.090332
57734.4602838719,584959.960938
57734.4602849079,693979.431152
57734.4602859464,1031776.123047
57734.460286978,764659.057617
57734.4602880148,951680.908203
57734.4602890483,853279.296875
57734.4602900805,637046.630859
57734.4602911185,927650.085449
57734.4602921503,685901.733398
57734.4602931875,903022.644043
57734.4602942176,508612.792969
57734.4602952532,592568.786621
57734.4602962872,532854.553223
57734.4602973193,311199.188232
57734.4602983591,763037.109375
57734.4602993935,740306.57959
57734.4603004306,952271.484375
57734.4603014634,791680.175781
57734.4603024986,839886.291504
57734.4603035319,722216.73584
57734.4603045628,397944.42749
57734.4603055993,550860.839844
57734.4603066402,1096461.181641
57734.4603076705,714711.303711
57734.4603087046,673916.870117
57734.4603097418,891958.862305
57734.4603107747,734562.316895
57734.4603118058,429510.559082
57734.4603128392,322789.0625
57734.4603138754,458466.156006
57734.460314907,196906.234741
57734.4603159428,296801.574707
57734.4603169797,487136.84082
57734.4603180113,225301.147461
57734.4603190482,419138.214111
57734.4603200848,582174.255371
57734.460321121,722832.458496
57734.4603221533,513237.487793
57734.4603231897,667149.658203
57734.4603242227,523673.583984
57734.4603252549,315953.491211
57734.4603262922,542218.200684
57734.4603273265,508155.975342
57734.4603283631,680473.937988
57734.4603293936,319027.618408
57734.4603304312,574379.02832
57734.4603314666,637008.728027
57734.4603325038,863235.473633
57734.4603335378,801526.550293
57734.4603345705,637598.266602
57734.4603356035,494396.728516
57734.4603366411,745515.930176
57734.4603376744,632194.091797
57734.4603387072,471495.513916
57734.4603397471,918208.374023
57734.4603407801,781013.427734
57734.460341811,455924.865723
57734.4603428476,619553.161621
57734.4603438866,995248.779297
57734.4603449183,746376.708984
57734.4603459526,714515.563965
57734.4603469866,660871.826172
57734.4603480235,852421.325684
57734.4603490594,955304.931641
57734.4603500919,776427.67334
57734.4603511291,991231.628418
57734.4603521617,814619.506836
57734.4603532021,1311858.764648
57734.4603542283,585505.126953
57734.460355262,501265.686035
57734.4603562953,385538.909912
57734.4603573303,413693.603516
57734.4603583646,378660.644531
57734.4603594024,654560.48584
57734.4603604396,874441.467285
57734.4603614702,526373.901367
57734.4603625065,667879.821777
57734.4603635468,1150698.608398
57734.4603645765,725143.310547
57734.4603656144,1010219.116211
57734.4603666476,882971.557617
57734.4603676844,1062935.302734
57734.460368714,633631.04248
57734.4603697482,591307.678223
57734.4603707794,296059.020996
57734.4603718166,517331.90918
57734.4603728522,598333.374023
57734.4603738802,19935.523987
57734.460374925,897408.691406
57734.4603759582,770613.464355
57734.4603769925,744762.512207
57734.460378026,641706.176758
57734.4603790606,639204.101562
57734.4603800955,657646.66748
57734.460381137,1246727.294922
57734.4603821626,469022.979736
57734.4603831975,487414.642334
57734.4603842303,327321.258545
57734.4603852659,414056.884766
57734.4603863001,373667.541504
57734.4603873399,816324.890137
57734.4603883741,773959.960938
57734.4603894089,793241.455078
57734.4603904435,781311.279297
57734.4603914767,657345.88623
57734.4603925108,613754.760742
57734.4603935468,724926.025391
57734.4603945864,1158561.157227
57734.4603956223,1265737.060547
57734.4603966577,1324782.226562
57734.4603976908,1191190.185547
57734.4603987196,689990.539551
57734.4603997576,974250.061035
57734.4604007891,708099.42627
57734.460401823,642221.374512
57734.4604028598,826900.32959
57734.4604038941,797329.467773
57734.4604049251,479332.122803
57734.4604059659,1006528.869629
57734.4604069987,854649.291992
57734.4604080297,538291.809082
57734.4604090682,869035.827637
57734.4604101004,658302.91748
57734.4604111358,722119.506836
57734.4604121691,605096.435547
57734.4604132098,1125110.961914
57734.460414238,572884.521484
57734.4604152664,33385.051727
57734.4604163074,579659.851074
57734.4604173446,796073.669434
57734.4604183794,810654.663086
57734.4604194133,745092.834473
57734.4604204467,632870.300293
57734.4604214872,1140833.129883
57734.4604225166,690758.789062
57734.4604235553,1035700.317383
57734.4604245883,897871.704102
57734.4604256252,1089919.311523
57734.4604266554,707304.80957
57734.4604276955,1174885.009766
57734.4604287298,1146473.022461
57734.4604297615,889444.335938
57734.4604307987,1108645.507812
57734.4604318277,618593.322754
57734.4604328643,785598.693848
57734.460433894,365008.209229
57734.4604349304,513457.092285
57734.4604359658,577020.080566
57734.460437004,883125.305176
57734.4604380427,1233977.172852
57734.4604390702,612872.924805
57734.4604401027,431960.571289
57734.460441139,574014.648438
57734.4604421718,413627.990723
57734.4604432059,366485.412598
57734.4604442398,301743.438721
57734.4604452729,161361.083984
57734.4604463053,-25374.647141
57734.4604473475,622843.688965
57734.4604483775,218874.267578
57734.4604494163,578928.955078
57734.4604504565,1055999.145508
57734.4604514821,278859.741211
57734.460452521,643461.730957
57734.460453554,496514.49585
57734.460454588,444222.259521
57734.4604556261,744463.989258
57734.4604566633,955801.147461
57734.4604576955,745548.034668
57734.4604587268,459319.946289
57734.4604597674,968245.727539
57734.4604607977,592507.568359
57734.4604618295,352411.865234
57734.4604628638,324728.424072
57734.4604639002,474615.234375
57734.4604649396,876922.424316
57734.4604659769,1110329.833984
57734.4604670091,900376.77002
57734.4604680414,691829.956055
57734.4604690773,799855.163574
57734.4604701086,514141.784668
57734.4604711508,1166097.77832
57734.4604721825,904355.895996
57734.460473208,115448.501587
57734.4604742493,690519.53125
57734.4604752852,801746.582031
57734.4604763133,236181.472778
57734.4604773567,990947.814941
57734.4604783871,619901.245117
57734.4604794231,742783.874512
57734.4604804615,1063730.59082
57734.4604814908,603235.229492
57734.4604825259,635071.166992
57734.4604835627,827954.162598
57734.4604845972,807477.172852
57734.4604856278,458509.674072
57734.4604866638,575471.191406
57734.4604876975,496511.566162
57734.4604887312,415034.942627
57734.4604897656,392655.212402
57734.4604908001,376256.92749
57734.4604918329,221374.37439
57734.4604928649,-9646.510124
57734.4604939069,620860.290527
57734.4604949374,265219.238281
57734.4604959701,92835.098267
57734.4604970087,437016.693115
57734.4604980491,934005.310059
57734.4604990816,750277.22168
57734.4605001164,759190.551758
57734.4605011523,865180.664062
57734.460502183,525331.848145
57734.4605032152,314761.59668
57734.4605042557,816022.644043
57734.4605052897,762900.085449
57734.4605063205,431422.576904
57734.4605073548,404038.482666
57734.4605083905,492740.875244
57734.4605094261,575776.489258
57734.4605104628,747704.406738
57734.4605114961,634275.32959
57734.4605125256,185627.319336
57734.4605135694,974902.099609
57734.4605146008,697207.763672
57734.4605156413,1199896.606445
57734.4605166722,875410.339355
57734.4605177029,532365.17334
57734.4605187421,925084.716797
57734.4605197757,841720.031738
57734.4605208089,713637.268066
57734.4605218448,816769.104004
57734.4605228749,426175.90332
57734.4605239141,823524.169922
57734.4605249481,760270.385742
57734.460525982,694067.504883
57734.4605270231,1253966.796875
57734.4605280523,785775.390625
57734.4605290843,557118.591309
57734.4605301207,706165.83252
57734.460531151,327824.279785
57734.4605321889,608853.759766
57734.460533225,739062.316895
57734.4605342599,753618.530273
57734.4605352887,250856.826782
57734.4605363225,176509.689331
57734.4605373585,296047.424316
57734.4605383984,748102.844238
57734.4605394297,461543.487549
57734.4605404696,908618.774414
57734.4605415076,1200932.861328
57734.4605425364,691539.489746
57734.4605435731,871211.303711
57734.4605446043,575054.748535
57734.4605456395,619515.50293
57734.4605466797,1097458.862305
57734.4605477076,516721.069336
57734.4605487394,269569.366455
57734.4605497763,467602.233887
57734.4605508094,332286.071777
57734.4605518511,935457.824707
57734.4605528807,498605.133057
57734.4605539156,527162.109375
57734.4605549512,601276.672363
57734.4605559884,825755.493164
57734.4605570238,893663.391113
57734.460558055,593432.067871
57734.4605590887,505502.441406
57734.4605601241,576393.737793
57734.4605611535,117813.926697
57734.460562196,800276.855469
57734.4605632307,798913.085938
57734.4605642651,783517.63916
57734.4605652989,703887.023926
57734.4605663328,642818.481445
57734.4605673702,880390.319824
57734.4605684095,1280528.930664
57734.4605694409,995026.062012
57734.4605704693,463359.619141
57734.4605715093,920761.291504
57734.4605725446,978553.894043
57734.4605735773,808092.712402
57734.4605746131,911244.995117
57734.4605756473,869750.793457
57734.4605766799,693528.747559
57734.4605777179,981569.152832
57734.4605787552,1203841.674805
57734.4605797849,781005.859375
57734.4605808197,789487.792969
57734.4605818498,400318.17627
57734.46058289,874922.485352
57734.4605839236,784955.01709
57734.4605859958,1041926.147461
57734.4605870333,1283755.615234
57734.460588063,853833.618164
57734.4605890979,880912.841797
57734.4605901283,514707.214355
57734.460591163,519293.334961
57734.4605922014,834496.09375
57734.4605932394,1123735.839844
57734.4605942704,809030.029297
57734.4605953002,397684.143066
57734.4605963337,292236.633301
57734.4605973752,888739.685059
57734.4605984082,738618.225098
57734.4605994389,400228.759766
57734.4606004764,645769.40918
57734.4606015104,587989.990234
57734.4606025504,1052744.628906
57734.4606035864,1170246.09375
57734.4606046161,739445.861816
57734.4606056501,680293.151855
57734.4606066876,928947.08252
57734.4606077244,1118036.254883
57734.4606087548,744276.428223
57734.4606097878,605096.984863
57734.4606108231,665288.330078
57734.4606118586,734613.952637
57734.4606149648,931675.537109
57734.4606160038,1298876.586914
57734.460617034,918236.450195
57734.4606180696,997897.705078
57734.460619098,459387.60376
57734.4606201343,602977.966309
57734.4606211689,602784.057617
57734.4606222071,902818.054199
57734.4606232386,634668.762207
57734.4606242697,330313.049316
57734.4606253092,747887.634277
57734.4606263421,591456.298828
57734.4606273783,729692.382812
57734.4606284136,779492.980957
57734.4606294469,664095.947266
57734.4606304806,582606.994629
57734.4606315205,1038460.571289
57734.4606325511,690246.09375
57734.4606335872,811492.004395
57734.4606346253,1111718.75
57734.4606356545,639450.98877
57734.4606366896,679353.210449
57734.460637724,655292.541504
57734.4606387566,481083.190918
57734.4606397982,1074881.958008
57734.4606408303,854424.133301
57734.4606418657,920375.12207
57734.4606428959,535362.670898
57734.4606439351,927560.72998
57734.4606449598,73491.859436
57734.4606460076,1207934.814453
57734.4606470347,553609.436035
57734.460648074,950909.851074
57734.460649101,294081.237793
57734.4606501421,853679.870605
57734.4606511754,731248.901367
57734.460652216,1248423.461914
57734.4606532433,613180.664062
57734.4606542797,763610.351562
57734.4606553127,623943.725586
57734.4606563452,437081.14624
57734.4606573876,1104316.52832
57734.4606584154,513941.955566
57734.4606594523,709513.85498
57734.4606604873,738390.686035
57734.4606615167,280875.88501
57734.4606625587,918336.975098
57734.4606635913,739098.449707
57734.460664625,659225.830078
57734.4606656634,979864.257812
57734.460666694,630118.835449
57734.4606677326,970031.433105
57734.4606687687,1100860.961914
57734.4606698034,1100565.307617
57734.4606708381,1108101.44043
57734.4606718698,850356.445312
57734.4606729036,773232.727051
57734.4606739362,603865.356445
57734.4606749703,555711.05957
57734.460676008,811301.757812
57734.460677045,1021469.360352
57734.4606780737,503269.012451
57734.4606791079,462461.730957
57734.4606801406,300269.500732
57734.4606822127,540555.786133
57734.4606832514,888204.833984
57734.4606842824,573665.466309
57734.4606853235,1130674.804688
57734.4606863538,748307.128906
57734.4606873871,637136.230469
57734.4606884223,684508.605957
57734.4606894653,1405784.790039
57734.4606904923,740858.398438
57734.4606915311,1099150.756836
57734.4606925681,1299214.84375
57734.4606935949,622564.025879
57734.4606946262,333289.398193
57734.4606956609,337882.293701
57734.4606967032,996304.56543
57734.4606977349,743707.580566
57734.4606987745,1173345.581055
57734.4606998072,1001697.387695
57734.4607008358,480951.446533
57734.4607018761,963831.481934
57734.4607029115,1033611.816406
57734.4607039468,1091547.729492
57734.4607049802,979751.220703
57734.4607060188,1322994.018555
57734.4607070491,949753.234863
57734.4607080824,828170.959473
57734.4607091152,667822.021484
57734.4607101485,551646.362305
57734.4607111857,776190.673828
57734.4607122175,525573.059082
57734.4607132456,-37877.95639
57734.4607142838,266007.720947
57734.4607153262,939211.120605
57734.4607163599,856907.775879
57734.4607173903,483607.299805
57734.4607184267,633133.728027
57734.4607194557,150477.996826
57734.460720497,726744.567871
57734.4607215341,933181.82373
57734.4607225655,653088.012695
57734.4607236039,974145.385742
57734.4607246352,687460.388184
57734.4607256707,761453.063965
57734.4607267067,876773.193359
57734.4607277393,696059.082031
57734.46072877,358804.473877
57734.4607298124,1022862.487793
57734.4607308458,919106.018066
57734.4607318706,64839.546204
57734.4607329151,920222.229004
57734.4607339461,601161.987305
57734.460734988,1226555.419922
57734.4607360162,674585.632324
57734.4607370478,411844.268799
57734.4607380809,275065.063477
57734.4607391143,165254.79126
57734.4607401522,442527.282715
57734.4607411866,421765.625
57734.4607422195,270179.870605
57734.460743262,946142.272949
57734.4607442972,1001876.89209
57734.4607453327,1068587.036133
57734.4607463576,227092.11731
57734.4607473977,697060.974121
57734.4607484408,1424579.589844
57734.4607494676,750750.915527
57734.4607505058,1053782.470703
57734.4607515369,745855.957031
57734.4607525714,733842.773438
57734.4607536051,653960.632324
57734.4607546369,408252.044678
57734.460755673,534903.320312
57734.4607567084,599957.824707
57734.4607577462,864989.501953
57734.4607587784,660126.220703
57734.4607598152,839844.238281
57734.4607608485,729772.033691
57734.4607618875,1098899.658203
57734.4607629205,958434.265137
57734.4607639546,910719.604492
57734.460764986,630995.666504
57734.4607660228,816054.748535
57734.460767056,693198.791504
57734.4607680913,747555.480957
57734.4607691302,1116141.845703
57734.4607701579,512382.629395
57734.4607711961,822345.64209
57734.4607722303,779796.569824
57734.4607732679,1032184.204102
57734.4607742986,693620.056152
57734.4607753423,1470194.458008
57734.4607763683,727473.144531
57734.4607774043,845498.779297
57734.4607784362,605532.592773
57734.4607794729,785113.098145
57734.4607805066,702693.664551
57734.4607815395,551708.435059
57734.4607825765,753755.981445
57734.4607836114,771563.659668
57734.4607846464,804500.915527
57734.46078568,708160.03418
57734.4607867172,931140.197754
57734.4607877518,928980.407715
57734.4607898224,1040287.963867
57734.4607908536,741302.490234
57734.4607918879,709495.300293
57734.4607929231,756677.124023
57734.460793958,775979.431152
57734.4607949938,877377.563477
57734.4607960277,813905.334473
57734.4607991286,547506.469727
57734.4608001605,310050.65918
57734.460801205,1163339.477539
57734.460802232,497250.579834
57734.4608032756,1276497.436523
57734.4608043054,853495.910645
57734.4608053381,681829.589844
57734.46080637,451175.750732
57734.4608074069,638282.226562
57734.4608084432,787476.806641
57734.4608094756,590666.809082
57734.460810511,653334.838867
57734.4608115482,872816.833496
57734.4608125827,862927.307129
57734.4608136187,972836.547852
57734.4608146522,879887.817383
57734.4608156863,831336.425781
57734.4608167199,743023.193359
57734.4608177539,686939.63623
57734.4608187899,800017.272949
57734.4608198185,279535.797119
57734.460820858,696681.70166
57734.4608218937,785054.443359
57734.4608229307,984017.150879
57734.4608239649,949078.613281
57734.4608249989,892627.685547
57734.4608260309,665252.929688
57734.4608270648,601459.594727
57734.4608280994,592799.926758
57734.4608291326,467690.704346
57734.4608301674,480361.358643
57734.4608312088,1065711.914062
57734.4608322364,459425.384521
57734.460833273,625942.993164
57734.4608343058,466489.318848
57734.4608353431,692331.542969
57734.4608363848,1299828.369141
57734.4608374083,340969.207764
57734.4608384485,816076.660156
57734.4608394785,418013.85498
57734.4608405142,506704.89502
57734.4608415541,955862.487793
57734.4608425816,345388.671875
57734.4608436224,874440.917969
57734.4608446562,799181.335449
57734.4608456827,96172.149658
57734.4608467235,620998.352051
57734.4608477583,633448.730469
57734.4608487924,589608.398438
57734.4608498278,651063.659668
57734.4608508643,809596.618652
57734.4608518959,551472.595215
57734.4608529322,691721.374512
57734.4608539668,683719.848633
57734.4608549997,537809.509277
57734.4608560369,753957.336426
57734.4608570696,583802.490234
57734.4608581067,799089.355469
57734.4608591389,583551.818848
57734.460860177,885064.819336
57734.4608612146,1140883.789062
57734.4608622459,852751.403809
57734.4608632824,1010690.917969
57734.4608643154,862471.191406
57734.460865349,772761.047363
57734.4608663892,1250334.716797
57734.4608674163,598627.685547
57734.4608684493,464013.48877
57734.4608694768,-154733.291626
57734.4608705171,326045.166016
57734.4608715534,472452.23999
57734.4608725908,709542.175293
57734.4608736276,892818.664551
57734.4608746582,544719.848633
57734.4608756991,1083983.886719
57734.4608767349,1186343.017578
57734.4608777673,992882.751465
57734.4608787994,769880.310059
57734.4608798374,1055353.393555
57734.4608808691,798904.541016
57734.4608819009,555632.995605
57734.4608829377,743839.111328
57734.4608839791,1318949.584961
57734.4608850108,1072994.384766
57734.4608860437,916869.140625
57734.4608870826,1282161.987305
57734.4608881178,1333801.147461
57734.4608891498,1100348.754883
57734.4608901822,907415.283203
57734.4608912189,1081618.286133
57734.4608922506,827294.98291
57734.4608932802,396303.375244
57734.4608943168,565417.053223
57734.4608953464,130137.374878
57734.4608963885,769386.59668
57734.4608974185,367692.138672
57734.4608984535,399754.882812
57734.4608994918,708738.037109
57734.4609005242,517319.702148
57734.4609015641,969868.713379
57734.4609025922,406169.250488
57734.4609036315,807221.801758
57734.4609046598,255477.844238
57734.4609056983,587451.11084
57734.4609067256,-47964.195251
57734.4609077669,526407.592773
57734.4609087943,-96816.497803
57734.4609098387,746611.206055
57734.4609108739,790152.770996
57734.4609119105,955197.20459
57734.4609139785,846477.111816
57734.4609150146,972013.366699
57734.4609160475,823802.91748
57734.4609170851,1077503.78418
